	control_sample_32
IFFO2	245.279256
UBR4	1575.061161
EMC1	157.7991118
MRTO4	62.36622721
AKR7L	1
AKR7A3	1
LOC100506730	3.76708755
AKR7A2	98.36284158
PQLC2	36.83374493
CAPZB	369.5931452
MINOS1	85.80588308
RPS14P3	38.08944078
NBL1	1
HTR6	6.697044533
TMCO4	61.94766193
RNF186	1
OTUD3	186.6801164
PLA2G2E	1
PLA2G2A	1
PLA2G5	1
PLA2G2D	1
PLA2G2F	1
PLA2G2C	1
UBXN10-AS1	1
UBXN10	20.0911336
VWA5B1	1
LINC01141	1
CAMK2N1	2.5113917
MUL1	109.6641042
FAM43B	1
CDA	25.113917
PINK1	395.5441927
PINK1-AS	25.53248228
DDOST	543.716303
KIF17	1
SH2D5	1
HP1BP3	1399.263742
EIF4G3	349.9205768
MIR1256	1
ECE1	551.2504781
LOC100506801	28.46243927
NBPF3	119.2911057
ALPL	274.5788259
RAP1GAP	77.8531427
USP48	598.1297899
LDLRAD2	1
HSPG2	18.83543775
CELA3B	1
CELA3A	1
LOC101928043	2.5113917
LINC00339	52.32066041
CDC42	2941.258246
WNT4	38.08944078
MIR4418	1
ZBTB40	560.0403491
EPHA8	2.5113917
MIR6127	1
C1QA	5.441348683
C1QC	1
C1QB	1
EPHB2	7.5341751
LACTBL1	1
C1orf234	1
KDM1A	395.5441927
MIR3115	1.25569585
MIR4419A	1
LUZP1	208.4455111
HTR1D	1
LINC01355	138.9636741
HNRNPR	1367.452781
ZNF436	107.9898431
ZNF436-AS1	15.0683502
TCEA3	35.1594838
ASAP3	9.208436233
E2F2	884.8470089
LOC101928163	3.76708755
ID3	60.2734008
MDS2	18.41687247
RPL11	1423.959094
TCEB3	188.7729428
TCEB3-AS1	6.27847925
PITHD1	2598.871844
LYPLA2	109.2455389
GALE	35.99661436
HMGCL	123.4767586
FUCA1	222.2581654
CNR2	47.7164423
PNRC2	916.2394052
SRSF10	930.8891901
MYOM3	1
IL22RA1	1
IFNLR1	44.78648531
LOC284632	1
GRHL3	1.674261133
STPG1	19.25400303
NIPAL3	398.892715
RCAN3AS	4.604218116
RCAN3	234.8151239
LOC100506985	119.2911057
NCMAP	1
SRRM1	228.95521
CLIC4	427.3551543
RUNX3	128.0809767
MIR6731	2.092826417
MIR4425	1
SYF2	295.0885247
RSRP1	811.1795191
RHD	126.4067156
TMEM50A	597.7112246
RHCE	29.29956983
TMEM57	219.7467737
LDLRAP1	264.9518243
MAN1C1	102.1299291
SEPN1	25.113917
MTFR1L	63.62192306
LOC646471	20.92826417
AUNIP	5.0227834
PAQR7	55.66918268
STMN1	73.24892458
PAFAH2	139.8008046
EXTL1	5.0227834
SLC30A2	1.25569585
TRIM63	1
PDIK1L	128.9181073
FAM110D	1
ZNF593	14.64978492
CNKSR1	2.092826417
CATSPER4	1
LOC101928303	1
CEP85	130.1738031
SH3BGRL3	295.50709
UBXN11	133.5223254
CD52	179.5645065
AIM1L	14.23121963
ZNF683	2.5113917
LIN28A	1
DHDDS	125.569585
LOC101928324	27.20674342
HMGN2	800.2968217
RPS6KA1	1272.857027
MIR1976	1
ARID1A	238.1636462
PIGV	111.7569306
ZDHHC18	991.5811562
SFN	1.25569585
GPN2	73.66748986
GPATCH3	79.52740383
NR0B2	1
NUDC	125.9881503
KDF1	2.929956983
TRNP1	3.76708755
FAM46B	1
SLC9A1	22.6025253
WDTC1	387.5914523
TMEM222	78.69027326
ACTG1P20	56.08774796
SYTL1	305.1340915
MAP3K6	33.48522266
FCN3	1
CD164L2	1
GPR3	1
WASF2	778.1128617
AHDC1	14.64978492
FGR	1639.101649
IFI6	256.999084
FAM76A	80.78309968
STX12	293.8328289
PPP1R8	282.113001
SCARNA1	9.627001516
THEMIS2	1289.181073
RPA2	472.1416396
SMPDL3B	5.0227834
XKR8	106.315582
EYA3	271.2303036
PTAFR	2189.096432
DNAJC8	282.113001
ATPIF1	71.15609816
SESN2	46.46074645
MED18	87.8987095
PHACTR4	59.85483551
SNHG3	136.0337171
RCC1	67.8075759
SNORA73B	282.9501315
TRNAU1AP	111.3383654
SNHG12	53.99492155
SNORD99	3.348522266
SNORA61	7.5341751
SNORA44	4.185652833
SNORA16A	10.0455668
RAB42	2.929956983
TAF12	125.569585
RNU11	2.5113917
GMEB1	93.34005818
YTHDF2	423.1695014
OPRD1	1.25569585
EPB41	29519.73517
TMEM200B	8.78987095
SRSF4	462.9332033
MECR	18.83543775
PTPRU	2.929956983
LOC101928460	1
LOC101929406	1
MATN1	1.674261133
MATN1-AS1	10.88269737
LAPTM5	2320.944496
MIR4420	1.25569585
SDC3	2.5113917
PUM1	661.3331476
SNORD85	2.092826417
NKAIN1	1
SNRNP40	231.885167
ZCCHC17	108.8269737
FABP3	15.48691548
SERINC2	5.859913966
LINC01225	1
LINC01226	1
TINAGL1	1
HCRTR1	8.371305666
PEF1	178.3088107
COL16A1	1.674261133
ADGRB2	9.208436233
MIR4254	1
SPOCD1	22.18396002
PTP4A2	1611.057775
KHDRBS1	465.444595
TMEM39B	26.78817813
MIR5585	1
KPNA6	563.8074366
TXLNA	360.8032742
CCDC28B	32.22952682
IQCC	15.0683502
DCDC2B	24.69535172
TMEM234	36.41517965
EIF3I	339.87501
MTMR9LP	3.348522266
FAM167B	1.25569585
LCK	1177.424142
HDAC1	751.7432488
MARCKSL1	48.13500758
FAM229A	4.604218116
TSSK3	28.04387398
BSDC1	658.4031907
ZBTB8B	1
ZBTB8A	8.371305666
ZBTB8OS	51.90209513
RBBP4	502.6969053
SYNC	1
KIAA1522	5.0227834
YARS	167.8446786
S100PBP	344.8977934
FNDC5	7.5341751
HPCA	1
TMEM54	1
RNF19B	247.3720824
AK2	565.4816978
AZIN2	19.67256832
TRIM62	33.48522266
ZNF362	32.22952682
A3GALT2	1
PHC2	421.076675
MIR3605	3.76708755
LOC101929464	1.25569585
ZSCAN20	25.113917
CSMD2	1.25569585
HMGB4	1
CSMD2-AS1	1
C1orf94	1
GJB5	1.25569585
GJB4	1
GJB3	1
GJA4	2.092826417
SMIM12	256.1619534
DLGAP3	4.185652833
LOC653160	18.41687247
ZMYM6NB	109.2455389
ZMYM6	277.5087828
ZMYM1	172.4488967
SFPQ	1369.964172
ZMYM4	333.5965308
KIAA0319L	251.9763006
NCDN	46.87931173
TFAP2E	19.25400303
PSMB2	181.2387677
C1orf216	65.71474948
CLSPN	30.1367004
AGO4	1687.236657
AGO1	322.7138334
AGO3	259.0919104
TEKT2	1
ADPRHL2	157.7991118
COL8A2	19.25400303
TRAPPC3	210.1197722
MAP7D1	233.9779934
THRAP3	1383.776827
SH3D21	11.71982793
EVA1B	21.34682945
STK40	251.5577353
LSM10	39.34513663
OSCP1	5.0227834
MRPS15	61.11053136
CSF3R	3111.614316
GRIK3	1
LINC01137	14.23121963
ZC3H12A	95.01431931
MIR6732	1
MEAF6	282.5315662
MIR5581	6.27847925
SNIP1	213.0497292
DNALI1	8.78987095
GNL2	167.8446786
RSPO1	1
C1orf109	75.341751
CDCA8	4.604218116
EPHA10	1
MANEAL	10.0455668
YRDC	59.85483551
C1orf122	38.08944078
MTF1	239.8379073
INPP5B	363.7332312
SF3A3	447.8648531
FHL3	41.01939776
UTP11L	74.08605515
POU3F1	1
LINC01343	1
RRAGC	218.4910779
GJA9-MYCBP	4.604218116
MYCBP	1
RHBDL2	1.25569585
AKIRIN1	657.1474948
NDUFS5	69.48183703
MACF1	7133.608123
KIAA0754	152.7763284
BMP8A	10.0455668
PPIEL	19.25400303
PABPC4	223.9324266
LOC101929516	4.604218116
SNORA55	3.76708755
HEYL	1
NT5C1A	1
HPCAL4	65.71474948
PPIE	161.5661994
BMP8B	14.64978492
OXCT2	1
TRIT1	106.315582
MYCL	114.6868876
MFSD2A	10.46413208
CAP1	2992.32321
PPT1	1500.556541
RLF	706.5381982
TMCO2	1
ZMPSTE24	313.0868319
COL9A2	34.74091851
SMAP2	1196.678145
ZFP69B	17.99830718
ZFP69	58.18057438
EXO5	65.2961842
ZNF684	20.50969888
RIMS3	17.99830718
NFYC-AS1	55.66918268
NFYC	192.9585956
MIR30E	6.27847925
MIR30C1	5.0227834
KCNQ4	1.674261133
CITED4	2.092826417
CTPS1	113.8497571
SLFNL1-AS1	10.46413208
SLFNL1	4.185652833
SCMH1	89.99153591
FOXO6	1
EDN2	1
HIVEP3	29.71813512
GUCA2B	1
GUCA2A	1
FOXJ3	398.892715
RIMKLA	2.929956983
ZMYND12	3.348522266
PPCS	140.6379352
CCDC30	18.41687247
PPIH	68.64470646
YBX1	6761.503587
CLDN19	1
P3H1	96.68858045
C1orf50	47.7164423
LOC100129924	1.25569585
SVBP	87.06157893
ERMAP	158.6362424
ZNF691	36.41517965
LOC339539	1
SLC2A1	541.6234766
SLC2A1-AS1	8.78987095
FAM183A	1
EBNA1BP2	84.96875251
MIR6733	1
CFAP57	2.929956983
TMEM125	1
C1orf210	1
TIE1	2.5113917
MPL	16.74261133
CDC20	10.88269737
ELOVL1	223.9324266
MED8	189.1915081
SZT2	219.7467737
PTPRF	38.08944078
KDM4A	351.1762727
KDM4A-AS1	12.97552378
ST3GAL3	33.06665738
LOC101929592	1.674261133
MIR6079	1
ARTN	1
IPO13	55.66918268
DPH2	61.94766193
ATP6V0B	661.3331476
B4GALT2	5.0227834
CCDC24	8.371305666
SLC6A9	59.01770495
KLF17	1
DMAP1	94.59575403
ERI3	56.08774796
ERI3-IT1	14.64978492
RNF220	179.5645065
TMEM53	3.76708755
C1orf228	29.71813512
KIF2C	8.78987095
RPS8	1994.463575
SNORD55	3.348522266
SNORD46	1.674261133
SNORD38A	2.092826417
SNORD38B	1.674261133
BEST4	5.441348683
PLK3	64.04048835
TCTEX1D4	13.39408907
BTBD19	5.441348683
PTCH2	6.27847925
EIF2B3	74.50462043
HECTD3	95.85144988
UROD	206.3526847
ZSWIM5	30.1367004
LINC01144	2.5113917
HPDL	2.929956983
MUTYH	57.7620091
TOE1	61.94766193
TESK2	82.8759261
CCDC163P	2.5113917
MMACHC	19.67256832
PRDX1	461.6775075
AKR1A1	178.727376
NASP	279.183044
CCDC17	43.94935475
GPBP1L1	494.7441649
RPS15AP10	27.20674342
TMEM69	110.5012348
IPP	75.341751
MAST2	40.60083248
PIK3R3	33.06665738
LOC101929626	1
TSPAN1	1
POMGNT1	102.5484944
LURAP1	1
RAD54L	9.627001516
LRRC41	177.4716801
UQCRH	135.6151518
NSUN4	95.85144988
FAAH	28.46243927
FAAHP1	2.092826417
LINC01398	1
DMBX1	1
MKNK1-AS1	30.55526568
KNCN	1
MKNK1	236.0708198
MOB3C	271.6488689
ATPAF1	106.315582
TEX38	2.092826417
EFCAB14-AS1	4.185652833
EFCAB14	649.1947544
CYP4B1	1
CYP4Z2P	1
CYP4A11	1
CYP4X1	1
CYP4Z1	1
CYP4A22	1
LINC00853	5.441348683
PDZK1IP1	337.3636183
TAL1	568.4116547
STIL	521.532343
CMPK1	787.7398632
LINC01389	8.371305666
FOXE3	1
FOXD2-AS1	1.674261133
FOXD2	6.697044533
TRABD2B	1
SKINTL	1
SLC5A9	6.27847925
SPATA6	37.25231021
AGBL4	2.092826417
BEND5	15.48691548
LOC101929721	1
AGBL4-IT1	1.25569585
ELAVL4	1.25569585
DMRTA2	1
FAF1	250.3020394
CDKN2C	20.50969888
C1orf185	1
RNF11	1299.645205
TTC39A	26.36961285
TTC39A-AS1	1
EPS15	1231.837629
OSBPL9	603.9897038
NRD1	1548.691548
MIR761	1
RAB3B	1
TXNDC12	247.3720824
TXNDC12-AS1	9.627001516
BTF3L4	182.4944635
ZFYVE9	87.8987095
CC2D1B	228.1180794
ORC1	9.627001516
PRPF38A	223.095296
ZCCHC11	583.4800049
GPX7	49.80926871
FAM159A	23.43965587
COA7	32.22952682
ZYG11B	687.2841952
ZYG11A	2.929956983
ECHDC2	42.6936589
SCP2	385.9171912
MIR1273F	1
MIR5095	7.5341751
MIR1273G	1
PODN	3.348522266
SLC1A7	4.604218116
CPT2	93.75862346
C1orf123	118.4539752
MAGOH	26.78817813
LOC100507564	1.674261133
LRP8	70.3189676
LOC105378732	1.25569585
SLC25A3P1	1
DMRTB1	1
GLIS1	1
NDC1	255.7433881
YIPF1	217.235382
DIO1	5.441348683
HSPB11	49.39070343
LRRC42	44.78648531
LDLRAD1	1
TMEM59	854.2917432
TCEANC2	154.0320243
MIR4781	1
CDCP2	1
CYB5RL	13.81265435
MRPL37	82.8759261
SSBP3	234.3965587
SSBP3-AS1	30.1367004
ACOT11	4.185652833
FAM151A	1
MROH7	1
MROH7-TTC4	1
TTC4	1
PARS2	14.64978492
TTC22	28.04387398
C1orf177	3.76708755
DHCR24	19.25400303
TMEM61	1
BSND	1
PCSK9	1.674261133
USP24	2212.117522
LOC100507634	1.674261133
MIR4422	1
PPAP2B	3.76708755
PRKAA2	1
C1orf168	1
C8A	1
C8B	1
DAB1	4.604218116
DAB1-AS1	1.25569585
OMA1	331.9222697
TACSTD2	1
MYSM1	680.5871507
JUN	50.64639928
LINC01135	3.76708755
LINC01358	1
HSD52	1
FGGY	56.92487853
MIR4711	1
LOC101926944	1.674261133
HOOK1	166.1704175
CYP2J2	4.185652833
C1orf87	1
LOC101926964	1
NFIA-AS2	1
NFIA	107.9898431
NFIA-AS1	2.092826417
MGC34796	1
TM2D1	151.5206326
INADL	656.7289295
L1TD1	2.092826417
KANK4	1
USP1	426.936589
DOCK7	112.1754959
ANGPTL3	16.32404605
ATG4C	134.3594559
LINC00466	1
FOXD3-AS1	1
FOXD3	1
ALG6	222.2581654
ITGB3BP	38.92657135
EFCAB7	45.62361588
DLEU2L	13.81265435
PGM1	133.1037601
ROR1	2.092826417
ROR1-AS1	1.674261133
UBE2U	1
CACHD1	16.32404605
MIR4794	1
RAVER2	87.48014421
JAK1	4944.930257
LINC01359	27.20674342
MIR3671	26.36961285
MIR101-1	26.36961285
AK4	2.5113917
DNAJC6	180.8202024
LEPROT	246.5349519
LEPR	137.7079782
PDE4B	809.5052579
LOC101927139	2.092826417
SGIP1	7.952740383
TCTEX1D1	1.674261133
INSL5	1
WDR78	7.115609816
MIER1	983.6284158
SLC35D1	377.1273203
C1orf141	1
IL23R	12.5569585
IL12RB2	35.57804908
SERBP1	1612.732037
GADD45A	54.41348683
GNG12	1
GNG12-AS1	17.16117662
DIRAS3	1
WLS	288.3914802
MIR1262	1.25569585
RPE65	1
DEPDC1	3.348522266
DEPDC1-AS1	1
LRRC7	25.53248228
PIN1P1	1
LRRC40	140.2193699
SRSF11	1061.062993
ANKRD13C	208.8640764
HHLA3	2.929956983
CTH	6.697044533
LOC101927244	1
PTGER3	9.208436233
ZRANB2-AS1	19.67256832
ZRANB2	627.847925
MIR186	22.18396002
ZRANB2-AS2	1.25569585
NEGR1	8.78987095
NEGR1-IT1	1
LINC01360	1
LRRIQ3	2.5113917
FPGT	176.6345496
FPGT-TNNI3K	1
TNNI3K	1
ERICH3	1
ERICH3-AS1	1
CRYZ	61.52909665
TYW3	138.5451088
LHX8	1
SLC44A5	8.78987095
ACADM	169.937505
DLSTP1	24.27678643
RABGGTB	228.1180794
SNORD45C	18.41687247
SNORD45A	20.0911336
SNORD45B	13.81265435
MSH4	3.348522266
ASB17	1
LOC101927342	1
ST6GALNAC3	33.06665738
ST6GALNAC5	1.25569585
MIR7156	1
PIGK	233.1408628
AK5	99.61853743
ZZZ3	557.1103921
USP33	952.2360195
FAM73A	209.2826417
NEXN-AS1	6.27847925
NEXN	78.27170798
FUBP1	1128.870569
DNAJB4	61.94766193
GIPC2	1.674261133
MGC27382	1
PTGFR	1.674261133
IFI44L	352.4319685
IFI44	246.9535172
ADGRL4	1
LOC101927412	5.441348683
LOC101927434	1
ADGRL2	1
LINC01361	1.25569585
LOC101927587	4.185652833
MIR548AP	1
LOC101927560	6.27847925
TTLL7	11.30126265
PRKACB	1161.518661
SAMD13	1.674261133
UOX	1
DNASE2B	1
RPF1	162.8218952
GNG5	167.4261133
SPATA1	125.569585
CTBS	464.1888992
LINC01461	1
LINC01555	1
SSX2IP	176.6345496
LPAR3	1
MCOLN2	102.9670597
MCOLN3	17.99830718
WDR63	5.859913966
MIR4423	1
SYDE2	25.53248228
C1orf52	107.9898431
BCL10	188.7729428
LOC646626	3.76708755
DDAH1	8.78987095
CYR61	1
ZNHIT6	155.2877201
COL24A1	8.371305666
ODF2L	465.8631603
MIR7856	3.76708755
CLCA2	1
CLCA1	1
CLCA4	1
CLCA3P	5.441348683
SH3GLB1	1212.583626
Sep-15	551.6690434
HS2ST1	248.209213
LINC01140	1.674261133
LOC101927844	1
LMO4	201.7484666
LINC01364	11.71982793
PKN2-AS1	3.76708755
PKN2	1007.068072
GTF2B	213.0497292
CCBL2	113.0126265
RBMXL1	283.7872621
GBP3	172.4488967
GBP1	698.1668926
GBP2	2251.044094
GBP7	1.25569585
GBP4	502.6969053
GBP5	2409.261771
LOC729930	2.929956983
GBP6	8.371305666
GBP1P1	6.697044533
LRRC8B	347.4091851
FLJ27354	24.69535172
LRRC8C	835.0377402
LRRC8D	391.3585399
GEMIN8P4	1.25569585
ZNF326	169.5189397
BARHL2	1
ZNF644	811.5980843
HFM1	6.27847925
CDC7	123.0581933
TGFBR3	276.253087
BRDT	1
EPHX4	1.674261133
SETSIP	1
BTBD8	23.85822115
KIAA1107	49.39070343
C1orf146	2.5113917
GLMN	83.71305666
RPAP2	171.1932009
GFI1	38.92657135
EVI5	218.9096432
RPL5	1921.633216
FAM69A	192.5400303
SNORD21	2.092826417
SNORA66	2.929956983
MTF2	391.7771052
TMED5	791.925516
CCDC18	157.3805465
LOC100131564	308.0640485
DR1	843.4090459
FNBP1L	82.45736081
BCAR3	11.71982793
LOC100129046	2.929956983
MIR760	3.348522266
DNTTIP2	182.9130288
GCLM	168.6818092
ABCA4	1.25569585
ARHGAP29	5.0227834
ABCD3	282.9501315
F3	1
LINC01057	1.25569585
MIR378G	1
SLC44A3	2.5113917
CNN3	14.23121963
LOC729970	1
ALG14	11.30126265
TMEM56	137.2894129
TMEM56-RWDD3	13.39408907
LOC101928118	5.859913966
RWDD3	45.2050506
FLJ31662	1
LOC100996635	1
LOC102723661	1
LOC101928241	1
PTBP2	237.3265156
DPYD	2482.510695
DPYD-AS1	25.113917
DPYD-AS2	100.455668
MIR137HG	1
LOC729987	1
SNX7	1.25569585
LPPR5	1
LOC100129620	1
LPPR4	1
LOC101928270	1
PALMD	1
FRRS1	27.6253087
AGL	353.6876644
SLC35A3	238.1636462
HIAT1	590.5956148
SASS6	90.4101012
TRMT13	154.8691548
LRRC39	12.97552378
DBT	159.0548077
RTCA-AS1	27.6253087
RTCA	181.2387677
MIR553	4.604218116
CDC14A	559.2032185
GPR88	2.092826417
LINC01349	1
VCAM1	3.76708755
EXTL2	27.6253087
SLC30A7	678.4943242
DPH5	90.82866648
LOC102606465	60.2734008
LOC101928370	30.1367004
S1PR1	846.3390029
LINC01307	1
RNU6-31P	1
OLFM3	1
DNAJA1P5	1
COL11A1	1.25569585
LOC101928436	1
RNPC3	350.3391421
AMY2B	179.5645065
ACTG1P4	26.36961285
AMY2A	1
LOC100129138	1
LOC101928476	1
PRMT6	98.36284158
NTNG1	2.929956983
VAV3	459.1661158
MIR7852	1.25569585
VAV3-AS1	12.13839322
SLC25A24	312.6682666
NBPF4	1
NBPF6	1
FAM102B	280.4387398
HENMT1	87.06157893
PRPF38B	468.7931173
FNDC7	1
STXBP3	649.1947544
AKNAD1	1.674261133
SPATA42	1
GPSM2	75.341751
CLCC1	185.0058552
WDR47	165.3332869
TAF13	22.18396002
TMEM167B	470.0488132
SCARNA2	2439.817036
C1orf194	2.5113917
KIAA1324	113.4311918
SARS	704.4453718
CELSR2	12.97552378
PSRC1	10.46413208
MYBPHL	1
SORT1	364.1517965
PSMA5	354.1062297
SYPL2	1
ATXN7L2	13.81265435
CYB561D1	125.569585
AMIGO1	61.94766193
GPR61	3.348522266
GNAI3	1166.122879
MIR197	12.97552378
GNAT2	107.9898431
AMPD2	763.881642
GSTM4	38.50800606
GSTM2	23.43965587
GSTM1	37.6708755
GSTM5	1
GSTM3	40.60083248
EPS8L3	1
CSF1	28.46243927
AHCYL1	425.6808931
STRIP1	270.8117383
ALX3	12.97552378
LINC01397	1
UBL4B	1
SLC6A17	1
KCNC4-AS1	1
KCNC4	8.78987095
LOC440600	2.929956983
RBM15	406.4268901
SLC16A4	63.62192306
LAMTOR5	74.08605515
LAMTOR5-AS1	1
PROK1	1
CYMP	1
LOC440602	1
KCNA10	1
KCNA2	5.0227834
KCNA3	1194.585319
CD53	2491.719132
LRIF1	176.6345496
DRAM2	332.3408349
CEPT1	531.5779098
DENND2D	941.7718875
CHI3L2	67.8075759
CHIAP2	1
CHIA	1
PIFO	1.674261133
PGCP1	1
OVGP1	28.04387398
WDR77	161.5661994
ATP5F1	499.348383
C1orf162	263.2775632
TMIGD3	3.76708755
ADORA3	11.30126265
LINC01160	1.674261133
RAP1A	717.8394609
FAM212B	578.0386563
FAM212B-AS1	2.092826417
LOC101928718	2.092826417
DDX20	208.8640764
KCND3	4.604218116
KCND3-IT1	1
KCND3-AS1	1
LOC643355	2.5113917
CTTNBP2NL	21.34682945
MIR4256	1
WNT2B	5.859913966
ST7L	59.43627023
CAPZA1	1213.839322
MOV10	105.4784514
RHOC	174.5417231
PPM1J	3.348522266
FAM19A3	1
LINC01356	1
SLC16A1	146.4978492
AKR7A2P1	1.674261133
SLC16A1-AS1	11.71982793
LOC100996251	5.859913966
LRIG2	272.4859994
LOC643441	1
MAGI3	64.45905363
PHTF1	151.1020673
RSBN1	745.8833349
AP4B1-AS1	23.85822115
PTPN22	233.9779934
