	control_sample_28
PQLC2	25.06246201
CAPZB	344.1268822
MINOS1	88.68255788
RPS14P3	21.20669862
NBL1	1
HTR6	5.783645079
TMCO4	53.01674656
RNF186	1
OTUD3	106.0334931
PLA2G2E	1
PLA2G2A	1
PLA2G5	1
PLA2G2D	1
PLA2G2F	1
PLA2G2C	1
UBXN10-AS1	1.927881693
UBXN10	18.31487608
VWA5B1	1.927881693
LINC01141	1
CAMK2N1	2.891822539
MUL1	138.8074819
FAM43B	1
CDA	46.26916063
PINK1	368.2254034
PINK1-AS	28.91822539
DDOST	655.4797756
KIF17	1
SH2D5	1
HP1BP3	1438.199743
EIF4G3	525.3477613
MIR1256	1
ECE1	734.522925
LOC100506801	28.91822539
NBPF3	28.91822539
ALPL	509.9247078
RAP1GAP	153.2665946
USP48	537.8789923
LDLRAD2	1
HSPG2	10.60334931
CELA3B	1
CELA3A	1
LOC101928043	1
LINC00339	67.47585925
CDC42	3433.557295
WNT4	33.73792963
MIR4418	1
ZBTB40	454.9800795
EPHA8	1.927881693
MIR6127	1
C1QA	42.41339725
C1QC	1
C1QB	16.38699439
EPHB2	9.639408465
LACTBL1	1
C1orf234	1
KDM1A	347.9826456
MIR3115	1
MIR4419A	1
LUZP1	229.4179215
HTR1D	2.891822539
LINC01355	110.8531973
HNRNPR	1136.486258
ZNF436	108.9253157
ZNF436-AS1	11.56729016
TCEA3	17.35093524
ASAP3	3.855763386
E2F2	531.1314064
LOC101928163	5.783645079
ID3	18.31487608
MDS2	12.531231
RPL11	1492.18043
TCEB3	197.6078735
TCEB3-AS1	9.639408465
PITHD1	2138.984738
LYPLA2	101.2137889
GALE	34.70187047
HMGCL	171.5814707
FUCA1	240.9852116
CNR2	45.30521978
PNRC2	952.3735563
SRSF10	911.8880408
MYOM3	1
IL22RA1	1
IFNLR1	24.09852116
LOC284632	1.927881693
GRHL3	1
STPG1	8.675467618
NIPAL3	351.838409
RCAN3AS	2.891822539
RCAN3	156.1584171
LOC100506985	98.32196634
NCMAP	1
SRRM1	193.7521101
CLIC4	561.9775135
RUNX3	101.2137889
MIR6731	1
MIR4425	1
SYF2	359.5499357
RSRP1	1005.390303
RHD	1.927881693
TMEM50A	699.8210546
RHCE	18.31487608
TMEM57	170.6175298
LDLRAP1	171.5814707
MAN1C1	44.34127894
SEPN1	29.88216624
MTFR1L	118.5647241
LOC646471	35.66581132
AUNIP	8.675467618
PAQR7	50.12492402
STMN1	122.4204875
PAFAH2	154.2305354
EXTL1	1.927881693
SLC30A2	1
TRIM63	1
PDIK1L	133.9877777
FAM110D	1.927881693
ZNF593	13.49517185
CNKSR1	5.783645079
CATSPER4	1
LOC101928303	1
CEP85	128.2041326
SH3BGRL3	192.7881693
UBXN11	167.7257073
CD52	503.1771219
AIM1L	4.819704232
ZNF683	7.711526772
LIN28A	1
DHDDS	131.0959551
LOC101928324	34.70187047
HMGN2	777.9002631
RPS6KA1	1524.954419
MIR1976	2.891822539
ARID1A	219.778513
PIGV	103.1416706
ZDHHC18	1069.97434
SFN	1.927881693
GPN2	73.25950433
GPATCH3	48.19704232
NR0B2	1
NUDC	126.2762509
KDF1	6.747585925
TRNP1	1
FAM46B	2.891822539
SLC9A1	33.73792963
WDTC1	308.4610709
TMEM222	57.83645079
ACTG1P20	58.80039164
SYTL1	202.4275778
MAP3K6	27.95428455
FCN3	1
CD164L2	1
GPR3	1
WASF2	711.3883447
AHDC1	14.4591127
FGR	1988.609966
IFI6	121.4565467
FAM76A	85.79073534
STX12	462.6916063
PPP1R8	269.903437
SCARNA1	3.855763386
THEMIS2	2046.446417
RPA2	444.3767302
SMPDL3B	5.783645079
XKR8	63.62009587
EYA3	262.1919102
PTAFR	2790.608751
DNAJC8	303.6413666
ATPIF1	69.40374095
SESN2	32.77398878
MED18	133.9877777
PHACTR4	62.65615502
SNHG3	123.3844284
RCC1	80.97103111
SNORA73B	511.8525895
TRNAU1AP	145.5550678
SNHG12	39.52157471
SNORD99	1
SNORA61	2.891822539
SNORA44	1
SNORA16A	8.675467618
RAB42	1.927881693
TAF12	170.6175298
RNU11	3.855763386
GMEB1	104.1056114
YTHDF2	413.5306231
OPRD1	1
EPB41	18191.49165
TMEM200B	2.891822539
SRSF4	443.4127894
MECR	8.675467618
PTPRU	6.747585925
LOC101928460	1
LOC101929406	1
MATN1	1.927881693
MATN1-AS1	8.675467618
LAPTM5	2893.750421
MIR4420	1
SDC3	2.891822539
PUM1	623.6697277
SNORD85	2.891822539
NKAIN1	1
SNRNP40	226.5260989
ZCCHC17	143.6271861
FABP3	15.42305354
SERINC2	1.927881693
LINC01225	1
LINC01226	1
TINAGL1	2.891822539
HCRTR1	4.819704232
PEF1	227.4900398
COL16A1	6.747585925
ADGRB2	5.783645079
MIR4254	1
SPOCD1	9.639408465
PTP4A2	1917.278344
KHDRBS1	444.3767302
TMEM39B	16.38699439
MIR5585	1
KPNA6	488.7180092
TXLNA	239.0573299
CCDC28B	22.17063947
IQCC	12.531231
DCDC2B	20.24275778
TMEM234	39.52157471
EIF3I	419.3142682
MTMR9LP	1.927881693
FAM167B	1
LCK	1033.344587
HDAC1	799.1069617
MARCKSL1	29.88216624
FAM229A	1
TSSK3	30.84610709
BSDC1	549.4462825
ZBTB8B	1
ZBTB8A	6.747585925
ZBTB8OS	42.41339725
RBBP4	556.1938684
SYNC	1
KIAA1522	9.639408465
YARS	178.3290566
S100PBP	395.2157471
FNDC5	7.711526772
HPCA	1
TMEM54	1
RNF19B	258.3361469
AK2	574.5087445
AZIN2	11.56729016
TRIM62	35.66581132
ZNF362	34.70187047
A3GALT2	1
PHC2	539.806874
MIR3605	8.675467618
LOC101929464	3.855763386
ZSCAN20	32.77398878
CSMD2	3.855763386
HMGB4	1
CSMD2-AS1	1
C1orf94	1
GJB5	1.927881693
GJB4	1
GJB3	2.891822539
GJA4	1.927881693
SMIM12	307.49713
DLGAP3	1.927881693
LOC653160	12.531231
ZMYM6NB	154.2305354
ZMYM6	299.7856033
ZMYM1	171.5814707
SFPQ	944.6620296
ZMYM4	379.7926935
KIAA0319L	211.1030454
NCDN	27.95428455
TFAP2E	21.20669862
PSMB2	198.5718144
C1orf216	64.58403671
CLSPN	37.59369301
AGO4	2468.652508
AGO1	425.0979133
AGO3	257.372206
TEKT2	1
ADPRHL2	138.8074819
COL8A2	11.56729016
TRAPPC3	241.9491525
MAP7D1	120.4926058
THRAP3	1408.317577
SH3D21	8.675467618
EVA1B	7.711526772
STK40	220.7424538
LSM10	53.01674656
OSCP1	4.819704232
MRPS15	68.4398001
CSF3R	3475.006752
GRIK3	2.891822539
LINC01137	13.49517185
ZC3H12A	80.00709026
MIR6732	1
MEAF6	258.3361469
MIR5581	3.855763386
SNIP1	216.8866905
DNALI1	9.639408465
GNL2	188.9324059
RSPO1	1
C1orf109	59.76433248
CDCA8	9.639408465
EPHA10	1.927881693
MANEAL	8.675467618
YRDC	65.54797756
C1orf122	33.73792963
MTF1	295.9298399
INPP5B	284.3625497
SF3A3	459.7997838
FHL3	73.25950433
UTP11L	118.5647241
POU3F1	1
LINC01343	1
RRAGC	240.0212708
GJA9-MYCBP	1
MYCBP	1
RHBDL2	1
AKIRIN1	693.0734686
NDUFS5	59.76433248
MACF1	5745.087445
KIAA0754	130.1320143
BMP8A	16.38699439
PPIEL	18.31487608
PABPC4	208.2112228
LOC101929516	5.783645079
SNORA55	1
HEYL	1
NT5C1A	1
HPCAL4	39.52157471
PPIE	167.7257073
BMP8B	13.49517185
OXCT2	1
TRIT1	116.6368424
MYCL	145.5550678
MFSD2A	26.9903437
CAP1	3583.932067
PPT1	2466.724626
RLF	825.1333646
TMCO2	1
ZMPSTE24	416.4224457
COL9A2	23.13458032
SMAP2	1357.228712
ZFP69B	11.56729016
ZFP69	57.83645079
EXO5	36.62975217
ZNF684	26.9903437
RIMS3	25.06246201
NFYC-AS1	54.94462825
NFYC	244.840975
MIR30E	3.855763386
MIR30C1	6.747585925
KCNQ4	2.891822539
CITED4	1
CTPS1	80.00709026
SLFNL1-AS1	5.783645079
SLFNL1	1.927881693
SCMH1	82.8989128
FOXO6	1
EDN2	1
HIVEP3	48.19704232
GUCA2B	1
GUCA2A	1
FOXJ3	431.8454992
RIMKLA	3.855763386
ZMYND12	3.855763386
PPCS	169.653589
CCDC30	16.38699439
PPIH	80.00709026
YBX1	5760.510499
CLDN19	1
P3H1	89.64649872
C1orf50	34.70187047
LOC100129924	1
SVBP	69.40374095
ERMAP	138.8074819
ZNF691	53.9806874
LOC339539	1.927881693
SLC2A1	566.7972177
SLC2A1-AS1	8.675467618
FAM183A	1
EBNA1BP2	76.15132687
MIR6733	1
CFAP57	6.747585925
TMEM125	1
C1orf210	1
TIE1	5.783645079
MPL	26.9903437
CDC20	10.60334931
ELOVL1	248.6967384
MED8	235.2015665
SZT2	198.5718144
PTPRF	27.95428455
KDM4A	374.0090484
KDM4A-AS1	16.38699439
ST3GAL3	26.02640286
LOC101929592	1
MIR6079	1
ARTN	1.927881693
IPO13	35.66581132
DPH2	38.55763386
ATP6V0B	929.238976
B4GALT2	4.819704232
CCDC24	3.855763386
SLC6A9	47.23310148
KLF17	1
DMAP1	56.87250994
ERI3	40.48551555
ERI3-IT1	18.31487608
RNF220	154.2305354
TMEM53	7.711526772
C1orf228	13.49517185
KIF2C	11.56729016
RPS8	2669.152204
SNORD55	1.927881693
SNORD46	1
SNORD38A	1
SNORD38B	3.855763386
BEST4	2.891822539
PLK3	68.4398001
TCTEX1D4	12.531231
BTBD19	5.783645079
PTCH2	4.819704232
EIF2B3	62.65615502
HECTD3	95.4301438
UROD	187.0045242
ZSWIM5	29.88216624
LINC01144	3.855763386
HPDL	1
MUTYH	56.87250994
TOE1	41.4494564
TESK2	107.9613748
CCDC163P	3.855763386
MMACHC	17.35093524
PRDX1	467.5113105
AKR1A1	222.6703355
NASP	280.5067863
CCDC17	50.12492402
GPBP1L1	655.4797756
RPS15AP10	35.66581132
TMEM69	118.5647241
IPP	68.4398001
MAST2	38.55763386
PIK3R3	28.91822539
LOC101929626	1
TSPAN1	1.927881693
POMGNT1	84.82679449
LURAP1	1
RAD54L	7.711526772
LRRC41	127.2401917
UQCRH	158.0862988
NSUN4	91.57438042
FAAH	29.88216624
FAAHP1	3.855763386
LINC01398	1
DMBX1	1
MKNK1-AS1	71.33162264
KNCN	1
MKNK1	429.9176175
MOB3C	336.4153554
ATPAF1	137.843541
TEX38	1
EFCAB14-AS1	9.639408465
EFCAB14	642.9485446
CYP4B1	1
CYP4Z2P	1
CYP4A11	1
CYP4X1	1.927881693
CYP4Z1	1
CYP4A22	1
LINC00853	2.891822539
PDZK1IP1	377.8648118
TAL1	573.5448037
STIL	430.8815584
CMPK1	918.6356267
LINC01389	8.675467618
FOXE3	1
FOXD2-AS1	4.819704232
FOXD2	2.891822539
TRABD2B	1
SKINTL	1
SLC5A9	5.783645079
SPATA6	49.16098317
AGBL4	1
BEND5	14.4591127
LOC101929721	1
AGBL4-IT1	1
ELAVL4	1
DMRTA2	1
FAF1	317.1365385
CDKN2C	32.77398878
C1orf185	1
RNF11	2025.239718
TTC39A	21.20669862
TTC39A-AS1	1
EPS15	1405.425754
OSBPL9	649.6961305
NRD1	1814.136673
MIR761	1
RAB3B	1
TXNDC12	337.3792963
TXNDC12-AS1	7.711526772
BTF3L4	243.8770342
ZFYVE9	57.83645079
CC2D1B	140.7353636
ORC1	13.49517185
PRPF38A	219.778513
ZCCHC11	455.9440204
GPX7	48.19704232
FAM159A	14.4591127
COA7	31.81004793
ZYG11B	604.3909107
ZYG11A	1
ECHDC2	23.13458032
SCP2	481.0064824
MIR1273F	1
MIR5095	3.855763386
MIR1273G	1
PODN	1
SLC1A7	5.783645079
CPT2	85.79073534
C1orf123	123.3844284
MAGOH	49.16098317
LOC100507564	1
LRP8	90.61043957
LOC105378732	1.927881693
SLC25A3P1	1
DMRTB1	1
GLIS1	1.927881693
NDC1	196.6439327
YIPF1	294.965899
DIO1	5.783645079
HSPB11	34.70187047
LRRC42	30.84610709
LDLRAD1	1
TMEM59	1158.656897
TCEANC2	156.1584171
MIR4781	1
CDCP2	1
CYB5RL	16.38699439
MRPL37	96.39408465
SSBP3	126.2762509
SSBP3-AS1	14.4591127
ACOT11	8.675467618
FAM151A	1
MROH7	1
MROH7-TTC4	1
TTC4	1
PARS2	18.31487608
TTC22	14.4591127
C1orf177	5.783645079
DHCR24	25.06246201
TMEM61	1
BSND	1.927881693
PCSK9	1.927881693
USP24	1794.857856
LOC100507634	3.855763386
MIR4422	1
PPAP2B	8.675467618
PRKAA2	1
C1orf168	1.927881693
C8A	1
C8B	1
DAB1	1.927881693
DAB1-AS1	1
OMA1	291.1101356
TACSTD2	3.855763386
MYSM1	670.9028292
JUN	52.05280571
LINC01135	2.891822539
LINC01358	2.891822539
HSD52	1
FGGY	93.50226211
MIR4711	1
LOC101926944	4.819704232
HOOK1	114.7089607
CYP2J2	3.855763386
C1orf87	1
LOC101926964	1
NFIA-AS2	1
NFIA	121.4565467
NFIA-AS1	4.819704232
MGC34796	1
TM2D1	149.4108312
INADL	555.2299276
L1TD1	25.06246201
KANK4	1
USP1	504.1410627
DOCK7	133.0238368
ANGPTL3	12.531231
ATG4C	140.7353636
LINC00466	1
FOXD3-AS1	1
FOXD3	1
ALG6	229.4179215
ITGB3BP	38.55763386
EFCAB7	36.62975217
DLEU2L	15.42305354
PGM1	179.2929974
ROR1	1.927881693
ROR1-AS1	1
UBE2U	1.927881693
CACHD1	5.783645079
MIR4794	1
RAVER2	74.22344518
JAK1	4671.257342
LINC01359	33.73792963
MIR3671	31.81004793
MIR101-1	30.84610709
AK4	9.639408465
DNAJC6	263.1558511
LEPROT	313.2807751
LEPR	224.5982172
PDE4B	811.6381927
LOC101927139	1
SGIP1	4.819704232
TCTEX1D1	5.783645079
INSL5	1
WDR78	8.675467618
MIER1	1353.372948
SLC35D1	234.2376257
C1orf141	1
IL23R	2.891822539
IL12RB2	13.49517185
SERBP1	1617.49274
GADD45A	46.26916063
GNG12	3.855763386
GNG12-AS1	31.81004793
DIRAS3	1
WLS	440.5209668
MIR1262	1.927881693
RPE65	1
DEPDC1	12.531231
DEPDC1-AS1	1
LRRC7	10.60334931
PIN1P1	1
LRRC40	164.8338847
SRSF11	918.6356267
ANKRD13C	228.4539806
HHLA3	1
CTH	9.639408465
LOC101927244	1
PTGER3	12.531231
ZRANB2-AS1	18.31487608
ZRANB2	655.4797756
MIR186	20.24275778
ZRANB2-AS2	1
NEGR1	6.747585925
NEGR1-IT1	1
LINC01360	1
LRRIQ3	7.711526772
FPGT	293.0380173
FPGT-TNNI3K	1
TNNI3K	1
ERICH3	1
ERICH3-AS1	1
CRYZ	94.46620296
TYW3	125.31231
LHX8	1
SLC44A5	1
ACADM	169.653589
DLSTP1	25.06246201
RABGGTB	213.9948679
SNORD45C	16.38699439
SNORD45A	20.24275778
SNORD45B	9.639408465
MSH4	7.711526772
ASB17	1
LOC101927342	1
ST6GALNAC3	66.51191841
ST6GALNAC5	1
MIR7156	1
PIGK	260.2640286
AK5	68.4398001
ZZZ3	485.8261866
USP33	1113.351678
FAM73A	202.4275778
NEXN-AS1	2.891822539
NEXN	74.22344518
FUBP1	863.6909985
DNAJB4	68.4398001
GIPC2	2.891822539
MGC27382	1
PTGFR	5.783645079
IFI44L	99.28590719
IFI44	136.8796002
ADGRL4	1
LOC101927412	15.42305354
LOC101927434	1
ADGRL2	1
LINC01361	1
LOC101927587	3.855763386
MIR548AP	1
LOC101927560	3.855763386
TTLL7	17.35093524
PRKACB	1100.820447
SAMD13	1
UOX	1
DNASE2B	1
RPF1	186.0405834
GNG5	223.6342764
SPATA1	200.4996961
CTBS	784.647849
LINC01461	1
LINC01555	1
SSX2IP	253.5164426
LPAR3	3.855763386
MCOLN2	88.68255788
MCOLN3	13.49517185
WDR63	4.819704232
MIR4423	1
SYDE2	27.95428455
C1orf52	123.3844284
BCL10	280.5067863
LOC646626	1
DDAH1	7.711526772
CYR61	1
ZNHIT6	130.1320143
COL24A1	11.56729016
ODF2L	400.0354513
MIR7856	3.855763386
CLCA2	1
CLCA1	1.927881693
CLCA4	1
CLCA3P	3.855763386
SH3GLB1	1870.045242
Sep-15	855.9794717
HS2ST1	361.4778174
LINC01140	4.819704232
LOC101927844	1
LMO4	195.6799918
LINC01364	8.675467618
PKN2-AS1	3.855763386
PKN2	1200.106354
GTF2B	259.3000877
CCBL2	131.0959551
RBMXL1	284.3625497
GBP3	397.1436288
GBP1	900.3207506
GBP2	3461.51158
GBP7	2.891822539
GBP4	541.7347557
GBP5	2828.202444
LOC729930	2.891822539
GBP6	22.17063947
GBP1P1	8.675467618
LRRC8B	389.432102
FLJ27354	18.31487608
LRRC8C	785.6117899
LRRC8D	388.4681611
GEMIN8P4	2.891822539
ZNF326	134.9517185
BARHL2	1
ZNF644	781.7560265
HFM1	1
CDC7	86.75467618
TGFBR3	256.4082652
BRDT	1.927881693
EPHX4	1.927881693
SETSIP	1
BTBD8	16.38699439
KIAA1107	49.16098317
C1orf146	4.819704232
GLMN	84.82679449
RPAP2	164.8338847
GFI1	42.41339725
EVI5	325.8120061
RPL5	2125.489567
FAM69A	140.7353636
SNORD21	1.927881693
SNORA66	2.891822539
MTF2	398.1075696
TMED5	1141.305962
CCDC18	201.4636369
LOC100131564	213.9948679
DR1	675.7225334
FNBP1L	79.04314941
BCAR3	12.531231
LOC100129046	1.927881693
MIR760	1
DNTTIP2	229.4179215
GCLM	260.2640286
ABCA4	3.855763386
ARHGAP29	24.09852116
ABCD3	286.2904314
F3	1
LINC01057	1
MIR378G	1
SLC44A3	1
CNN3	10.60334931
LOC729970	1
ALG14	16.38699439
TMEM56	254.4803835
TMEM56-RWDD3	10.60334931
LOC101928118	4.819704232
RWDD3	51.08886486
FLJ31662	1
LOC100996635	1
LOC102723661	1
LOC101928241	1
PTBP2	222.6703355
DPYD	3170.401444
DPYD-AS1	30.84610709
DPYD-AS2	130.1320143
MIR137HG	1
LOC729987	1
SNX7	1.927881693
LPPR5	2.891822539
LOC100129620	1
LPPR4	1
LOC101928270	1
PALMD	3.855763386
FRRS1	68.4398001
AGL	278.5789046
SLC35A3	259.3000877
HIAT1	856.9434125
SASS6	94.46620296
TRMT13	141.6993044
LRRC39	10.60334931
DBT	210.1391045
RTCA-AS1	25.06246201
RTCA	228.4539806
MIR553	5.783645079
CDC14A	426.0618541
GPR88	4.819704232
LINC01349	1
VCAM1	8.675467618
EXTL2	31.81004793
SLC30A7	731.6311025
DPH5	93.50226211
LOC102606465	47.23310148
LOC101928370	25.06246201
S1PR1	719.0998715
LINC01307	1
RNU6-31P	1
OLFM3	1
DNAJA1P5	1
COL11A1	2.891822539
LOC101928436	1
RNPC3	284.3625497
AMY2B	158.0862988
ACTG1P4	21.20669862
AMY2A	1
LOC100129138	1
LOC101928476	1
PRMT6	70.36768179
NTNG1	5.783645079
VAV3	583.1842121
MIR7852	1.927881693
VAV3-AS1	13.49517185
SLC25A24	498.3574176
NBPF4	1
NBPF6	1
FAM102B	364.36964
HENMT1	121.4565467
PRPF38B	406.7830372
FNDC7	3.855763386
STXBP3	895.5010464
AKNAD1	1
SPATA42	1
GPSM2	102.1777297
CLCC1	160.9781214
WDR47	176.4011749
TAF13	34.70187047
TMEM167B	628.4894319
SCARNA2	2085.004051
C1orf194	2.891822539
KIAA1324	197.6078735
SARS	748.0180969
CELSR2	13.49517185
PSRC1	24.09852116
MYBPHL	1
SORT1	544.6265783
PSMA5	417.3863865
SYPL2	1
ATXN7L2	3.855763386
CYB561D1	131.0959551
AMIGO1	43.37733809
GPR61	5.783645079
GNAI3	1568.331757
MIR197	12.531231
GNAT2	128.2041326
AMPD2	506.0689444
GSTM4	65.54797756
GSTM2	23.13458032
GSTM1	46.26916063
GSTM5	1.927881693
GSTM3	69.40374095
EPS8L3	2.891822539
CSF1	23.13458032
AHCYL1	457.8719021
STRIP1	181.2208791
ALX3	5.783645079
LINC01397	1
UBL4B	1
SLC6A17	1
KCNC4-AS1	1.927881693
KCNC4	2.891822539
LOC440600	4.819704232
RBM15	440.5209668
SLC16A4	57.83645079
LAMTOR5	125.31231
LAMTOR5-AS1	1
PROK1	1
CYMP	1
LOC440602	1
KCNA10	1
KCNA2	4.819704232
KCNA3	1379.399351
CD53	3513.564385
LRIF1	277.6149638
DRAM2	376.900871
CEPT1	550.4102233
DENND2D	889.7174013
CHI3L2	75.18738603
CHIAP2	1
CHIA	2.891822539
PIFO	1
PGCP1	1
OVGP1	22.17063947
WDR77	114.7089607
ATP5F1	658.3715982
C1orf162	327.7398878
TMIGD3	5.783645079
ADORA3	18.31487608
LINC01160	1.927881693
RAP1A	868.5107027
FAM212B	601.4990882
FAM212B-AS1	2.891822539
LOC101928718	1
DDX20	212.0669862
KCND3	1.927881693
KCND3-IT1	1
KCND3-AS1	1
LOC643355	1.927881693
CTTNBP2NL	28.91822539
MIR4256	1.927881693
WNT2B	7.711526772
ST7L	79.04314941
CAPZA1	2531.308663
MOV10	81.93497195
RHOC	254.4803835
PPM1J	2.891822539
FAM19A3	1
LINC01356	1
SLC16A1	133.9877777
AKR7A2P1	1
SLC16A1-AS1	18.31487608
LOC100996251	7.711526772
LRIG2	226.5260989
LOC643441	1
MAGI3	83.86285364
PHTF1	222.6703355
RSBN1	694.0374095
AP4B1-AS1	26.02640286
PTPN22	278.5789046
BCL2L15	20.24275778
AP4B1	137.843541
DCLRE1B	45.30521978
HIPK1-AS1	6.747585925
HIPK1	2165.011141
